One-off costs upon entry or exit,,If you exit after 1 year
Entry costs,"4.00% of the amount you pay when you enter into this investment. The amount stated is the maximum
rate. It may be lower in individual cases. You can find out the actual amount applicable to you from the
distributor of the Fund's shares.",Up to €400
Exit costs,We do not charge an exit fee for this product.,€0
Ongoing costs taken each year,,
"Management fees and
other administrative or
operating costs","The ongoing charges figure is based on expenses for the year ended 30/11/2023. This figure may vary
from year to year",€117
Transaction costs,"0.03% of the value of your investment per year. This is an estimate of the costs incurred when we buy
and sell the underlying investments for the product. The actual amount will vary depending on how
much we buy and sell.",€3
Incidental costs taken under specific conditions,,
Performance fees,There is no Performance Fee for this product,
