One-off costs upon entry or exit,,If you exit after 1 year
Entry costs,None,€0
Exit costs,"The exit charge shown is the maximum figure. All investors currently pay
2%. This charge is retained by the Fund.",€319
Ongoing costs taken each year,,
"Management fees and other administrative or
operating costs","2.15% of the value of your investment per year. This is an estimate based on
actual
costs over the last year.",€215
Transaction costs,"The impact of the costs of us buying and selling underlying investments for the
product.",€0
Incidental costs taken under specific conditions,,
Performance fees,"20% of any returns the Fund
achieves",€107
